GuangDong	27117.96	11169.12
JiangSu	25878.38	8029.32
ShanDong	18055.50	10005.83
ZheJiang	16347.04	5657.05
HeNan	13306.65	9559.13
SiChuan	11859.24	8302.00
FuJian	10705.61	3911.23
HuNan	10223.99	6860.22
HuBei	9872.67	5902.23
BeiJing	8915.91	2915.36
ShangHai	9458.86	2418.33
ChongQing	5995.25	3048.43
AnHui	9529.12	6254.82
ShanXi	6352.79	3835.44
